abandon;vt. 放弃,沉溺n. 放任;[4'b1nd4n]
amenable;a. 应服从的,会接纳的,肯服从的,有义务的;[4'mi:n4bl]
amend;vt. 修正,改善,改良vi. 改过自新;[4'mend]
amiable;a. 亲切的,和蔼可亲的;['eimj4bl]
amicable;a. 友善的,和平的;['1mik4bl]
amount;n. 数量,总额vi. 总计,等于;[4'maunt]
ample;a. 充足的,丰富的;['1mpl]
amplify;vt. 扩大,详述,使增幅vi. 引伸;['1mplifai]
analogous;a. 类似的,相似的;[4'n1l4g4s]
analogy;n. 相似,类似;[4'n1l4d9i]
analysis;n. 分析;[4'n1l4sis]
anecdote;n. 轶事,奇闻;['1nikd4ut]
angle;n. 角,角落vi. 钓鱼,夺取,追逐,转变角度vt. 使转动角度;['16gl]
anguish;n. 苦闷,痛苦vt. 使极苦闷,使极痛苦vi. 感到痛苦;['16gwi5]
animated;a. 活生生的,活泼的,愉快的;['1n4meitid]
annex;n. 附属物,裙房附属建筑物vt. 并吞,附加,盖;[4'neks]
annihilate;vt. 消灭,废止;[4'nai4leit]
annotate;vt.vi. 注解,注释;['1n4uteit]
announce;vt. 宣布,显示,预告vi. 当报幕员,宣布参加竞选;[4'nauns]
annoy;vt. 使苦恼,骚扰;[4'n3i]
annually;ad. 一年一次,每年;['1nju4li]
annul;vt. 废除,宣告无效,取消;[4'n8l]
anomalous;a. 不规则的,反常的;[4'nam4l4s]
anomaly;n. 不规则,异常的人或物;[4'n3m4li]
anonymous;a. 作者不详的,佚名的,无名的n. 无记录;[4'n3nim4s]
antagonism;n. 反对,敌对,敌意;[1n't1g4nizm]
antagonist;n. 敌手,对手;[1n't1g4nist]
anticipate;vt. 预期,占先,提前使用;[1n'tisipeit]
antique;n. 古董,古物a. 旧式的,过时的;[1n'ti:k]
antiquity;n. 古老,古代,古代的遗物;[1n'tikwiti]
antiseptic;n. 杀菌剂,防腐剂a. 杀菌的,防腐的;[1nti'septik]
anxious;a. 忧虑的,热心的,渴望的;['16k54s]
apathetic;a. 缺乏感情的,缺乏兴趣的,无动于衷的;[1p4'7etik]
aperture;n. 孔,穴,孔径,光圈;['1p4tju4]
apex;n. 顶,峰,绝顶;['eipeks]
apologize;vi. 道歉,辩白;[4'p3l4d9aiz]
apparel;n. 衣服,装具vt. 使穿衣,装饰;[4'p1r4l]
appeal;n. 恳求,上诉,吸引力,要求vi. 求助,诉请,要求vt. 控诉;[4'pi:l]
appear;vi. 出现,显得,来到;[4'pi4]
applaud;vt.vi. 拍手喝彩,称赞,赞同;[4'pl3:d]
applicant;n. 申请者,请求者;['1plik4nt]
application;n. 应用,申请,志愿书n. 应用程序;['1pli'kei54n]
appoint;vt. 任命,指定,命令;[4'p3int]
appraise;vt. 评价,估价,鉴定;[4'preiz]
appreciate;vt. 赏识,鉴赏,感激,欣赏vi. 增值,涨价;[4'pri:5ieit]
apprehend;vt. 理解,忧虑,逮捕vi. 理解;['1pri'hend]
apprehension;n. 理解,忧惧,逮捕;['1pri'hen54n]
apprentice;n. 学徒,生手vt. 使做学徒;[4'prentis]
appropriate;a. 适当的;[4'pr4upriit]
approve;vt. 赞同,核准,证实vi. 赞许;[4'pru:v]
approximate;a. 大约的,近似的vt. 接近,约等于vi. 近于;[4'pr3ksimit]
apt;a. 倾向于的,易于的,恰当的,聪明的;[1pt]
aptitude;n. 资质,才能,自然倾向;['1ptitju:d]
arable;a. 适于耕种的,可耕的;['1r4bl]
arbitration;n. 仲裁,公断;['a:bi'trei54n]
arbitrator;n. 仲裁人,公断者;['2:bitreit4]
archaic;a. 已废的,古老的,古代的;[a:'keik]
ardent;a. 热心的,激烈的,燃烧般的;['a:d4nt]
ardor;n. 热心,热情;['ard4]
arduous;a. 费力的,辛勤的,险峻的;['a:dju4s]
arid;a. 干燥的,不毛的;['1rid]
aristocrat;n. 贵族;['1rist4kr1t]
arithmetic;n. 算术,算法;[4'ri7m4tik]
armament;n. 军备,武器;['a:m4m4nt]
armor;n. 盔甲,装甲vt. 装甲;['2:m4]
aroma;n. 浓香,香气;[4'roum4]
arouse;vt. 唤醒,鼓励,引起vi. 睡醒;[4'rauz]
arrange;vt.vi. 安排,排列,协商;[4'reind9]
array;n. 排列,衣服,大批vt. 部署,穿着,排列;[4'rei]
arrogance;n. 傲慢态度,自大;['1r4g4ns]
arrogant;a. 傲慢的,自大的;['1r4g4nt]
article;n. 文章,冠词,物品,条款;['a:tikl]
ascend;vi. 上升,追溯,登高vt. 攀登;[4'send]
ascent;n. 上升,上坡路;[4'sent]
ascertain;vt. 确定,探知;['1s4'tein]
ascetic;n. 禁欲者,修道者a. 修道的,苦己的,苦行;[4'setik]
aspect;n. 外观,方面,方向;['1spekt]
asperse;vt. 洒水,中伤,诽谤;[4s'p4:s]
aspersion;n. 洒水,诽谤,中伤;[4s'p4:94n]
aspiration;n. 热望,渴望;[__sp_'rei__n]
aspire;vi. 热望,立志;[4s'pai4]
assassin;n. 暗杀者,刺客;[4's1sin]
assassinate;vt. 暗杀,行刺;[4's1sineit]
assault;n. 攻击,突袭vt. 袭击,突袭vi. 动武;[4's3:lt]
assemble;vt. 集合,装配vi. 集合;[4'sembl]
assembly;n. 集会,会议,装配;[4'sembli]
assert;vt. 主张,声明,断言;[4's4:t]
assess;vt. 估定,评定;[4'ses]
asset;n. 资产,有用的东西;['1set]
assiduous;a. 勤勉的,刻苦的;[4'sidju4s]
assimilate;vt. 使同化,比较,吸取,吸收,比拟vi. 被吸收,被同化;[4'simileit]
assist;n. 帮助,协助vt. 帮助,搀扶vi. 协助,参加;[4'sist]
associate;n. 同伴,伙伴vt. 联合,联想vi. 交往n. 关联;[4's4u5ieit]
association;n. 协会;[4's4usi'ei54n]
assuage;vt. 缓和,减轻,镇定;[4'sweid9]
assumption;n. 假定,假装,视为当然之事;[4's8mp54n]
assure;vt. 保证,确告,担保;[4'5u4]
astonish;vt. 使惊讶;[4s't3ni5]
astonished;adj. 惊异;[_'stani_t]
astound;vt. 使惊骇,使大吃一惊;[4s'taund]
astronomy;n. 天文学;[4s'tr3n4mi]
astute;a. 机敏的,狡猾的;[4s'tju:t]
atheism;n. 无神论;['ei7iizm]
athlete;n. 运动员,运动选手;['17li:t]
atmosphere;n. 大气,气氛;['1tm4sfi4]
atom;n. 原子,微粒,微量;['1t4m]
attachment;n. 附着,附属物,爱慕;[_'t_t_m_nt]
attainment;n. 达到;[4'teinm4nt]
attend;vt. 参加,照料,陪伴vi. 专心,照顾,服侍;[4'tend]
attendant;n. 随从,跟班,出席者a. 伴随的,出席的,注意的,在场的;[4'tend4nt]
attorney;n. 代理人,律师;[4't4:ni]
attribute;n. 属性,定语,标志vt. 归于,属于;['1tribju:t]
attrition;n. 摩擦,磨损;[4'tri54n]
audience;n. 听众,观众;['3:dj4ns]
audit;n. 稽核,查账vt. 稽核,旁听vi. 查账;['3:dit]
audition;n. 听,听力,试听;[3:'di54n]
auditor;n. 听者,收听者,稽核员;['3dit4]
auditorium;n. 礼堂,会议厅,听众;[3:di't3:ri4m]
augment;vt.vi. 增加,增大n. 增加;[3:g'ment,'3:gm4nt]
aura;n. 气味,气氛;['3:r4]
auspice;n. 赞助,主办,吉兆;['3:spis]
auspicious;n. 吉兆的,幸运的;[3:'spi54s]
austerity;n. 朴素,节俭,苦行,酸涩,严峻;[3'stAr4ti]
authentic;a. 真实的,可靠的,可信的;[3:'7entik]
authoritative;a. 权威的,有权威的,命令式的;[3:'73rit4tiv]
authority;n. 权威,专家,威信;[3:'73riti]
authorize;vt. 授权与,批准,委托代替;['3:74raiz]
autocrat;n. 独裁者;['3:t4kr1t]
autonomy;n. 自治;[3:'t3n4mi]
available;a. 有用的,有空的;[4'veil4bl]
avalanche;n. 雪崩,山崩,涌到之物vi. 崩落,涌至vt. 大量投入;['1v4la:n5]
avarice;n. 贪财,贪婪;['1v4ris]
avaricious;a. 贪财的,贪婪的;[1v4'ri54s]
average;n. 平均,平均数,海损a. 一般的,通常的,平均的vt. 平均为,均分,使平衡vi. 买进,卖出;['1v4rid9]
aversion;n. 厌恶,讨厌的事,讨厌的人;[4'v4:54n]
avert;vt. 转开,避免,防止;[4'v4:t]
aviator;n. 飞行员,飞行家;['eivieit4]
avid;a. 热望的,急切的,贪婪的;['1vid]
avoid;vt. 避免,消除;[4'v3id]
avow;vt. 声明,承认,招认;[4'v4u]
awe;n. 敬畏vt. 使敬畏;[3:]
awkward;a. 笨拙的;['3:kw4d]
axis;n. 轴;['1ksis]
baby-sit;vi. 担任临时保姆,照顾婴儿; ['beibi_sit]
backward;ad.a. 向后地(的),相反地(的);['b1kw4d]
baggage;n. 行李;['b1gid9]
bait;n. 饵vt. 以饵引诱,欺负vi. 中途休息;[beit]
balance;n. 平衡,差额vi. 平衡,相等vt. 称,权衡,比较,抵消,结算;['b1l4ns]
bald;a. 秃头,光秃的,单调的,赤裸的;[b3:ld]
balk;n. 障碍,错误,失败vt. 阻止,突然停止,退缩vi. 逡巡不前;[b3:k]
ballot;n. 投票,投票用纸,抽签vi. 不记名投票,抽签vt. 投票选出,拉选票;['b1l4t]
balmy;a. 芳香的,温和的,止痛的;['ba:mi]
ban;n. 禁令vt. 禁止,取缔;[b1n]
bandit;n. 强盗;['b1ndit]
banish;vt. 驱逐,消除;['b1ni5]
bankruptcy;n. 破产;['b16kr4ptsi]
banquet;n. 宴会;['b16kwit]
bar;n. 条,棒,障碍物,栅,酒吧vt. 禁止,阻挡,妨碍;[ba:]
barbarian;n. 野蛮人a. 野蛮的;[ba:'bA4ri4n]
bare;a. 赤裸的,极少的,无遮蔽的,坦率的vt. 使赤裸,露出;[bA4]
barely;ad. 几乎不能;['bA4li]
barometer;n. 气压计;[b4'r3mit4]
barren;a. 不育的,贫瘠的n. 荒地;['b1r4n]
barricade;n. 防卫工事,障碍vt. 设路障于,阻碍;[b1ri'keid]
barrier;n. 障碍,栅栏;['b1ri4]
barter;n. 物物交换,实物交易vt.vi. 物物交换,交换;['ba:t4]
bashful;a. 害羞的;['b15ful]
basin;n. 盆地,盆;['beisn]
bask;vi. 晒太阳,舒适;[b1:sk]
baste;vt. 假缝,润以油脂,涂以奶油,狠揍;[beist]
batter;n. 内倾,击球手vt. 打坏,猛击,使内倾vi. 猛击,内倾;['b1t4]
bear;n. 熊vt. 忍受,负荷,使跌价,怀有,产生vi. 忍受,结果实,转向,开动,压迫;[bA4]
beat;n. 打,敲打声,拍子vt.vi. 打,打败,搜索a. 疲乏的,颓废的;[bi:t]
becoming;a. 合适的,适当的;[bi'k8mi6]
beforehand;ad. 预先;[bi'f3:h1nd]
befuddle;vt. 使昏迷,使迷惑,使迷糊;[bi'f8dl]
beget;vt. 招致,产生,引起;[bi'get]
begrudge;vt. 嫉妒,羡慕,舍不得给,吝惜;[bi'gr8d9]
beguile;vt. 诱骗;[bi'gail]
behave;vi. 举止,行为,表现vt. 使表现好;[bi'heiv]
behavior;n. 行为,举止;[bi'heivj4]
belie;vt. 掩饰,与...不符,使失望;[bi'lai]
believer;n. 信徒;[bi'li:v4]
belittle;vt. 轻视,使渺小;[bi'litl]
belligerent;a. 好战的,交战的,交战国的;[bi'lid94r4nt]
benefactor;n. 恩人,捐助者,赠送者;['beni'f1kt4]
beneficial;a. 有益的;['beni'fi54l]
beneficiary;n. 受惠者,受益人a. 受封的;[beni'fi54ri]
benefit;n. 利益vt. 有益于vi. 受益;['benifit]
benevolent;a. 慈善的;[bi'nev4l4nt]
benign;a. 良性的;[bi'nain]
bent;a. 弯曲的,决心的vbl. 弯曲n. 爱好;[bent]
bequest;n. 遗赠物,遗产,遗赠;[bi'kwest]
berate;vt. 严责;[bi'reit]
bereave;vt. 剥夺,使失去;[b4'riv]
beset;vt. 围攻,使苦恼,镶嵌;[bi'set]
besides;ad. 此外prep. 除...之外;[bi'saidz]
besiege;vt. 围攻,包围;[bi'si:d9]
bestow;vt. 授予,适用,留宿,放置,使用;[bi'st4u]
betray;vt. 出卖,背叛,辜负,暴露;[bi'trei]
beverage;n. 饮料;['bev4rid9]
bewilder;vt. 使不知所措;[bi'wild4]
bias;n. 偏见,斜线a.ad. 斜(的)vt. 使有偏见;['bai4s]
bicker;vi. 斗嘴,潺潺而流,闪动n. 口角,流水声;['bik4]
bidding;n. 命令,邀请,出价;['bidi6]
bigoted;a. 固执己见的,执迷的,顽固的;['big4tid]
bill;n. 账单,钞票,鸟嘴,清单,票据,法案vt. 送账单,宣布;[bil]
biochemistry;n. 生物化学;['bai4u'kAmistri]
bizarre;a. 奇异的;[bi'z2:]
blame;n. 过失,责备vt. 责备,归咎于;[bleim]
bland;a. 温和的,乏味的,冷漠的;[bl1nd]
blast;n. 阵,一阵风,爆炸,枯萎病vt. 炸,使枯萎vi. 猛攻,公开批评,枯萎;[bla:st]
bleach;vt. 漂白vi. 变白n. 漂白,漂白剂;[bli:t5]
bleak;a. 萧瑟的,苍白的,荒凉的,阴冷的;[bli:k]
bleed;vi. 流血,悲痛,渗出vt. 使出血,榨取;[bli:d]
blemish;n. 污点,缺点vt. 弄脏,玷污,损害;['blemi5]
blend;vt. 混合n. 混合;[blend]
blessed;a. 受祝福的;['blesid]
blessing;n. 祝福;['blesi6]
blink;vi. 眨眼,闪亮vt. 眨眼,使闪亮n. 眨眼,瞬间,闪光n. 闪烁;[bli6k]
bliss;n. 福佑,天赐的福;[blis]
block;n. 街区,木块,石块vt. 阻塞,封锁,使成块状n. 块;[bl3k]
blunder;n. 大错,大失策vi. 失策,绊倒,犯错vt. 做错;['bl8nd4]
blunt;a. 钝的,坦率的,麻痹的;[bl8nt]
board;n. 木板,甲板,会议桌,海岸vt. 乘船,供膳食,用板铺vi. 搭伙n. 板;[b3:d]
boast;n. 吹牛vi. 吹牛,自夸vt. 夸口说,自恃有;[b4ust]
boastful;a. 自夸的,自负,喜夸耀的;['boustful]
bold;a. 大胆的n. 粗体;[b4uld]
bombastic;a. 夸大的,夸夸其谈的;[b3m'b1stik]
bonanza;n. 富矿带,带来好运的事物,幸运;[bou'n1nz4]
bond;n. 结合,债券,契约,粘合剂,关栈保留,键,保证人vt. 存入关栈,粘着vi. 结合;[b3nd]
bondage;n. 奴役,束缚;['b3ndid9]
bonus;n. 奖金,红利;['b4un4s]
boon;n. 恩惠;[bu:n]
boredom;n. 厌烦,厌倦,令人厌烦的事物;['b3:d4m]
boring;a. 烦人的,无聊的,无趣的;['b3:ri6]
botany;n. 植物学;['b3t4ni]
bound;n. 跃,回跳,范围,边界a. 受约束的,装订的,有义务的,关联的,便秘的,准备去...的,被束缚的vi. 跳跃,弹起vt. 使跳,限止,邻接a. 装订的;[baund]
boundary;n. 边界,分界线;['baund4ri]
boundless;a. 无限的,无边无际的;['baundlis]
bow;n. 弓,眼睛框vt.vi. 用弓拉琴,弯成弓形n. 鞠躬,船首,屈服vt.vi. 鞠躬,弯腰;[bau]
brace;n. 支柱,曲柄,支撑,一对vt. 紧缚,支撑,激励vi. 打起精神;[breis]
brag;n. 吹牛vt.vi. 吹牛;[br1g]
brain;n. 脑vt. 打碎脑部;[brein]
brawl;n. 争吵vi. 争吵,哗哗地流水;[br3:l]
breach;n. 裂口,违背,破坏,破裂,突破,违反vt. 攻破,突破vi. 跳出水面;[bri:t5]
breakdown;n. 崩溃,故障;['breikdaun]
breed;n. 种类,品种vt.vi. 养育,引起,饲养,繁殖;[bri:d]
breeze;n. 微风,煤屑,轻而易举的事vi. 吹微风,逃走;[bri:z]
brew;n. 酿造酒,酝酿vt.vi. 酿造,酝酿;[bru:]
brighten;vi. 变亮,活跃vt. 使生辉,事快活;['braitn]
brim;n. 边,边缘,(河)边vt. 注满,使满溢vi. 满溢;[brim]
brink;n. 边缘,水滨;[bri6k]
brisk;a. 敏锐的,凛冽的,活泼的vt. 使活泼vi. 活跃起来;[brisk]
brittle;a. 易碎的,脆弱的,易坏的;['britl]
broaden;vi. 变宽,扩大vt. 放宽,使扩大;['br3:dn]
bruise;n. 瘀伤,擦伤vi. 受伤,擦伤vt. 使受伤,研碎;[bru:z]
brutal;a. 残忍的,野蛮的,不讲理的;['bru:tl]
bud;n. 芽,花蕾vi. 发芽,萌芽vt. 使发芽;[b8d]
budge;vi. 移动,微微一动vt. 推动n. 羔皮;[b8d9]
budget;n. 预算vi. 编预算vt. 编入预算,安排a. 廉价的;['b8d9it]
bulk;n. 大小,体积,大批,大多数vt.显得大,显得重要,;[b8lk]
bulky;a. 庞大的;['b8lki]
burglar;n. 窃贼;['b4:gl4]
burning;a. 燃的,烧的,像燃烧一样的n. 烧,燃烧;['b4:ni6]
burnish;vt. 磨,打磨,磨光vi. 磨光发亮n. 光辉,光泽;['b4:ni5]
butt;n. 烟头,靶,笑柄;[b8t]
butter;n. 奶油,黄油vt. 涂黄油于;['b8t4]
byword;n. 谚语,格言,笑柄;['baiw4:d]
calamity;n. 灾难,不幸事件;[k4'l1miti]
calculate;vt.vi. 计算,考虑,计划,打算;['k1lkjuleit]
caliber;n. 口径,才干,器量;['k1l4b4]
cancel;n. 取消,撤销,盖销(邮票)vt. 取消,删去,抵消,盖销vi. 相互抵消;['k1ns4l]
candidate;n. 候选人,投考者;['k1ndidit]
canny;a. 精明的,谨慎的;['k1ni]
canvas;n. 帆布,画布,油画;['k1nv4s]
capable;a. 有能力的,能的,能干的;['keip4bl]
capacious;a. 容积大的,广阔的,宽敞的;[k4'pei54s]
captivate;vt. 迷住,迷惑;['k1pti'veit]
captivity;n. 囚禁,被关;[k1p'tiviti]
carbon;n. 碳,副本,复写纸;['ka:b4n]
cardinal;n. 枢机主教,鲜红色a. 主要的,深红色的;['ka:dinl]
career;n. 事业,生涯,速度;[k4'ri4]
carnage;n. 大屠杀,残杀;['ka:nid9]
carnal;a. 肉体的,肉欲的;['karn4l]
castigate;vt. 惩罚,苛评,修订;['k1stigeit]
casual;a. 偶然的,不经意的,便装的n. 临时工,待命士兵;['k19ju4l]
casualty;n. 严重事故,伤亡,受害者;['k19ju4lti]
cataclysm;n. 大洪水,地震,(社会政治的)大变动;['k1t4'kliz4m]
catastrophe;n. 大灾难,大祸;[k4't1str4fi]
catching;a. 易传染的,有魅力的,迷人的;['k1t5i6]
categorical;a. 属于范畴的,绝对的,明确的;[k1t4'g2:ikl]
cathedral;n. 大教堂;[k4'7i:dr4l]
catholic;n. 天主教徒,旧教徒a. 天主教的,旧教的,宽宏大量的,一般的,普遍的;['k174lik]
cause;n. 原因,目标vt. 引起,使产生,成为...的原因;[k3:z]
