abandon;vt. ·ÅÆú,³ÁÄçn. ·ÅÈÎ;[4'b1nd4n]
abundant;a. ·á¸»µÄ,³ä·ÖµÄ;[4'b8nd4nt]
abuse;n. ÀÄÓÃ,¶ñÏ°,ÈèÂîvt. ÀÄÓÃ,ÈèÂî,Å°´ý;[4'bju:z,4'bju:s]
academic;a. Ñ§ÔºµÄ,ÀíÂÛµÄ,²»¹»Êµ¼ÊµÄ;['1k4'demik]
accelerate;vt.vi. ¼ÓËÙ;[1k'sel4reit]
accentuate;vt. ÒÔÖØÒôÄî,Ç¿µ÷,ÖØ¶Á;[1k'sent5ueit]
access;n. Í¨Â·,½øÈë,Ê¹ÓÃÈ¨,·¢×÷n. ·ÃÎÊ;['1kses]
accidental;a. ÒâÍâµÄ,Å¼È»µÄn. ·Ç±¾ÖÊÊôÐÔ;['1ksi'dentl]
acclaim;n. ºÈ²Ê,»¶ºô,ÔÞÍ¬vt.vi. »¶ºô,ºÈ²Ê,³ÆÔÞ;[4'kleim]
accommodate;vt. Ê¹ÊÊÓ¦,µ÷½Ú,ºÍ½â,ÈÝÄÉvi. ÊÊÓ¦;[4'k3m4deit]
accompany;vt. Åã°é,´øÓÐ,Îª...°é×àvi. °é×à;[4'k8mp4ni]
accomplice;n. ¹²·¸,Í¬Ä±;[4'k3mplis]
accomplished;a. Íê³ÉµÄ,ÊµÏÖµÄ,ÉÆÉç½»µÄ,ÓÐÔìÒèµÄ;[4'k3mpli5t]
accost;vt. ÕÐºô,´îÚ¨,¹´Òý;[4'k3st]
account;n. ÕËÄ¿,±¨¸æ,¹À¼Æ,Ô­Òò,¼ÇÂ¼,ËãÕËvi. ½âÊÍ,ÈÏÎª,Õ¼,É±ËÀ,µÃ·Övt. ÈÏÎª;[4'kaunt]
accumulate;vt.vi. »ý¾Û,¶Ñ»ý;[4'kju:mjuleit]
accurate;a. ÕýÈ·µÄ,¾«È·µÄ;['1kjurit]
accusation;n. ¿Ø¸æ,Ö¸¿Ø,·ÇÄÑ;['1kju1:3'zei54n]
accuse;vt. Ôð±¸,¿Ø¸æ,Ç´Ôð;[4'kju:z]
accustomed;a. Ï°¹ßÁËµÄ;[4'k8st4md]
achieve;vt. Íê³É;[4't5i:v]
acid;n. Ëá,ËáÀàÎïÖÊa. ËáµÄ,ËáÐÔµÄ,·í´ÌµÄ;['1sid]
acknowledge;vt. ³ÐÈÏ,´ðÐ»,ÈÏÖª;[4k'n3lid9]
acquire;vt. »ñµÃ,Ñ§µ½;[4'kwai4]
acquisitive;a. Ïë»ñµÃµÄ,Ì°µÃµÄ;[4'kwizitiv]
acquit;vt. ¿ªÊÍ,ÊÍ·Å,Íê³É,±íÏÖ;[4'kwit]
acrid;a. ¿àÎ¶µÄ,ÐÁÀ±µÄ,¼â¿ÌµÄ;['1krid]
acrimonious;a. ÑÏÀ÷µÄ,ÐÁÀ±µÄ,¿Ì¶¾µÄ;[1kri'mouni4s]
acrimony;n. ÑÏÀ÷,ÐÁÀ±,¿Ì¶¾;['1kr4'm4uni]
acting;n. ÑÝÏ·,ÐÐÎª,¼Ù×°a. ´úÀíµÄ,ÁÙÊ±µÄ,ÑÝ³öÓÃµÄ;['1kti6]
action;n. ¶¯×÷,×÷ÓÃ,ËßËÏ,ÐÐÎª,Õ½¶·¿Ø¸æ;['1k54n]
active;a. »îÔ¾µÄ,»ý¼«µÄ,ÓÐÐ§µÄ,Ö÷¶¯µÄ,ÏÖÒÛµÄ,ÏÖÐÐµÄ,»îÐÔµÄa. »î¶¯µÄ;['1ktiv]
actual;a. ÕæÊµµÄ,Êµ¼ÊµÄ;['1ktju4l]
acumen;n. ÃôÈñ,´ÏÃ÷;[4'kju:m4n]
acute;a. ÃôÈñµÄ,¼¤ÁÒµÄ,¼âÈñµÄ,ÑÏÖØµÄ;[4'kju:t]
adage;n. ¹Å»°,¸ñÑÔ,ÑèÓï;['1did9]
adapt;vt. Ê¹ÊÊÓ¦,¸Ä±àvi. ÊÊÓ¦;[4'd1pt]
adaptable;a. ÄÜÊÊÓ¦µÄ,¿ÉÐÞ¸ÄµÄ;[4'd1pt4bl]
adaptation;n. ¸Ä±à,ÊÊÓ¦,¸Ä±à³ÉµÄ×÷Æ·;['1d1p'tei54n]
addict;vt. Ê¹³ÁÄç,Ê¹ÉÏñ«n. ÉÏñ«Õß;[4'dikt]
addicted;adj. ³ÕÃÔ;[_'diktid]
adept;a. ÊìÁ·µÄ,ÀÏÁ·µÄn. ÃûÊÖ,×¨¼Ò;[4'dApt]
adequate;a. ÊÊµ±µÄ,×ã¹»µÄ;['1dikwit]
adhere;vi. ÒÀ¸½,Õ³×Å,¼á³Ö,;[4d'hi4]
adherent;a. ¸½×ÅµÄ,¹ÌÊØµÄn. µ³Í½;[4d'hi4r4nt]
adhesive;a. Õ³×ÅµÄ,ÓÐÕ³ÐÔµÄn. Õ³¼Á;[4d'hi:siv]
adjacent;a. ÅþÁ¬µÄ,ÁÚ½üµÄ,½Ó½üµÄ;[4'd9eis4nt]
adjoin;vt.vi. ÁÚ½Ó,ÅþÁ¬;[4'd93in]
adjoining;a. ÁÚ½ÓµÄ,¸ô±ÚµÄ;[4'd93ini6]
adjourn;vi. ÑÓÆÚ,ÐÝ»á,»»µØ·½vt. Ê¹ÖÐÖ¹;[4'd94:n]
adjust;vt. µ÷Õû,Ê¹ÊÊÓ¦ÓÚ,Ð£×¼vi. µ÷Õû,ÊÊÓ¦ÓÚ,Ð£×¼;[4'd98st]
administer;vt. ¹ÜÀí,ÖÎÀí,Ö´ÐÐvi. ¹ÜÀí,ÓÐÖúÓÚ;[4d'minist4]
administration;n. ÐÐÕþ,¹ÜÀí,ÖÐÑëÕþ¸®;[4d'minis'trei54n]
admirable;a. ¿ÉÇÕÅåµÄ,ÓÅÁ¼µÄ,ÁîÈË¾ªÆæµÄ;['1dm4r4bl]
admire;vt. ÔÞÃÀ,ÇÕÅå,Ï²»¶,°®Ä½;[4d'mai4]
admit;vt. ÔÊÐí½øÈë,³ÐÈÏ,½ÓÄÉ,ÈÝÄÉvi. ÈÝÐíÓÐ,¿ªÏò,³ÐÈÏ;[4d'mit]
admonish;vt. È°¸æ,Ñµ½ë,¸æ½ë;[4d'm3ni5]
adopt;vt. ²ÉÓÃ,ÊÕÑø,½ÓÊÜ;[4'd3pt]
adore;vt. ³ç°Ý,°®Ä½,Ï²°®;[4'd3:]
adroit;a. ÊìÁ·µÄ,Ãô½ÝµÄ;[4'dr3it]
advance;n. Ç°½ø,½ø²½,½ø²½µÄÀý×Óvi. Ç°½ø,Ôö¼Ó,ÉÏÕÇvt. ´Ù½ø,Ìá³ö,Ìá¸ß,Ô¤¸¶;[4d'va:ns]
adverse;a. ²»ÀûµÄ,µÐ¶ÔµÄ,Ïà·´µÄ,ÄæµÄ;['1dv4:s]
adversity;n. ²»ÐÒ,ÔÖ»ö;[4d'v4:siti]
advice;n. ÖÒ¸æ,Í¨Öª;[4d'vais]
advisable;a. ÊÊµ±µÄ,Ã÷ÖÇµÄ;[4d'vaiz4bl]
advise;vt. È°¸æ,Í¨Öª,Óë...ÉÌÁ¿,½¨Òévi. ÌáÒâ¼û,ÉÌÁ¿;[4d'vaiz]
advocate;n. Ìá³«Õß,Óµ»¤Õßvt. Ö÷ÕÅ,Ìá³«;['1dv4kit]
aesthetic;a. ÃÀÑ§µÄ,ÉóÃÀµÄ,ÓÐÃÀ¸Ð;[i:s'7etik]
affable;a. ºÍ°ª¿ÉÇ×µÄ,ÓÑÉÆµÄ,ÒóÇÚµÄ;['1f4bl]
affect;vt. Ó°Ïì,¼Ù×°,ÇãÏòÓÚ,¸Ð¶¯n. ¸ÐÇé;[4'fekt]
affection;n. °®,Çé¸Ð,Ó°Ïì,²¡;[4'fek54n]
affectionate;a. ÇéÉîµÄ,³äÂúÇé°®µÄ;[4'fek5nit]
affiliate;vt. ¸½Êô,½ÓÄÉvi. ÓÐ¹Ø;[4'filieit]
affinity;n. ÃÜÇÐ¹ØÏµ,Ç¿ÁÒµÄÎüÒýÁ¦;[4'finiti]
affirm;vt.vi. ¶ÏÑÔ,È·ÈÏ,¿Ï¶¨;[4'f4:m]
afflict;vt. Ê¹Í´¿à,ÕÛÄ¥;[4'flikt]
afflicting;Í´¿àµÄ;[_'flikt]
affluence;n. ¸»Ô£,¸»×ã,Á÷Èë;['1flu4ns]
affluent;a. ·á¸»µÄ,¸»Ô£µÄn. Ö§Á÷;['1flu4nt]
afford;vt. Ìá¹©,¹©Ó¦µÃÆð,¸øÓè;[4'f3:d]
age;n. ÄêÁä,ÄêÀÏvt.vi. ³ÉÊì,±äÀÏ;[eid9]
aged;a. ÄêÀÏµÄ,¾­¹ýÏàµ±ËêÔÂµÄ,ÓÐ...ËêµÄ;[eid9d]
agenda;n.pl. Òé³Ì,Ó¦°ìÊÂÏî;[4'd9end4]
aggravate;vt. Ê¹¶ñ»¯,Ê¹¸üÑÏÖØ¼ÓÖØ;['1gr4veit]
aggregate;n. ºÏ¼Æ,×Ü¼Æ,¼¯ºÏÌåa. ºÏ¼ÆµÄ,¼¯ºÏµÄ,¾ÛºÏµÄvt.vi. ¾Û¼¯,¼¯ºÏ,ºÏ¼Æ;['1grigeit]
aggression;n. ½ø¹¥,ÇÖÂÔ;[4'gre54n]
aggressive;a. ÇÖÂÔµÄ,¹¥»÷ÐÔµÄ;[4'gresiv]
aghast;a. ¾ªº§µÄ,ÏÅ´ôµÄ;[4'ga:st]
agile;a. Ãô½ÝµÄ,Áé»îµÄ,Çá¿ìµÄ;['1d9ail]
agility;n. Ãô½Ý,Áé»î,Çá¿ì;[4'd9il4ti]
agitate;vt. Ê¹Ò¡¶¯,É§¶¯vi. ¹Ä¶¯;['1d9iteit]
agonize;vt. Ê¹¿àÄÕ,ÕÛÄ¥vi. ¸Ðµ½Í´¿à;['1g4naiz]
agrarian;a. ÓÐ¹ØÍÁµØµÄ,¸ûµØµÄ;[4'grA4ri4n]
agreeable;a. Óä¿ìµÄ,ºÍ°ª¿ÉÇ×µÄ,Í¬ÒâµÄ;[4'gri4bl]
aim;n. Ä¿±ê,Ãé×¼vi. ¶Ô×¼Ä¿±ê,´òËãvt. Ãé×¼;[eim]
alert;a. ¾¯¾õµÄ,ÁéÃôµÄ,ÁôÐÄµÄn. ¾¯±¨vt. Ê¹¾¯¾õ;[4'l4:t]
algebra;n. ´úÊýÑ§;['1ld9ibr4]
alien;n. ÍâÇÈa. Íâ¹úµÄ,ÏàÒìµÄ;['eilj4n]
alienate;vt. Ê¹ÊèÔ¶,Àë¼ä,ÈÃÓë;['eilj4neit]
alkali;n. ¼î;['1lk4lai]
allege;vt. Ðû³Æ,ÉêÊö,Ö÷ÕÅ,¶ÏÑÔ;[4'led9]
allegiance;n. ÖÒÕê,Ð§ÖÒ;[4'li:d94ns]
allegory;n. Ô¢ÑÔ;['1lig4ri]
alleviate;vt. ¼õÇá,Ê¹»ººÍ;[4'li:vieit]
alliance;n. ÁªÃË,ÁªºÏ;[4'lai4ns]
allocate;vt. ·ÖÅÉ,·ÖÅä;['1l4'keit]
allot;vt. ·ÖÅä,·ÖÌ¯Ö¸¶¨;[4'l3t]
allude;vi. °µÊ¾,Ìá¼°;[4'lu:d]
allure;vt. ÒýÓÕ,ÎüÒýn. ÷ÈÁ¦,ÓÕ»óÁ¦;[4'lju4]
allusion;n. Ìá¼°,°µÊ¾;[4'lu:94n]
ally;n. ÃËÓÑ,Í¬ÃË¹úvt. ÁªÃË,ÁªºÏ,Óë...ÓÐ¹ØÏµvi. ½áÃË;['1lai,4'lai]
alone;a. ¹Â¶ÀµÄ,µ¥¶ÀµÄ,¶À×ÔµÄad. ¶À×ÔµØ;[4'l4un]
alter;vt.vi. ¸Ä±ä;['3:lt4]
alternate;a. ½»»¥µÄ,ÂÖÁ÷µÄvt.vi. ÂÖÁ÷,(Ê¹)½»Ìæ;[3:l't4:nit]
alternative;n. ¶þÖÐÔñÒ»,±äÍ¨°ì·¨a. ¶þÖÐÔñÒ»µÄ,Ñ¡ÔñÐÔµÄ;[3:l't4:n4tiv]
altruism;n. ÀûËûÖ÷Òå,ÀûËû;['1ltru'iz4m]
aluminum;n. ÂÁ;['1lju'minj4m]
alumnus;n. ÄÐ±ÏÒµÉú,ÄÐÐ£ÓÑ;[4'l8mn4s]
amalgamate;vt.vi. Ê¹Óë¹¯»ìºÏ,ºÏ²¢;[4'm1lg4meit]
amass;vt. ÊÕ¼¯,»ý¾Û;[4'm1s]
amateur;n. ÒµÓà¼¼ÒÕ¼Ò,°®ºÃÕß;['1m4t4:]
amazed;a. ³Ô¾ªµÄ,¾ªÆæµÄ;[_'meizd]
ambiguous;a. êÓÃÁµÄ,²»Ã÷È·µÄ;[1m'bigju4s]
ambitious;a. ÓÐÒ°ÐÄµÄ,±§¸º²»·²µÄ,ÐÛÐÄ²ª²ªµÄ;[1m'bi54s]
amenable;a. Ó¦·þ´ÓµÄ,»á½ÓÄÉµÄ,¿Ï·þ´ÓµÄ,ÓÐÒåÎñµÄ;[4'mi:n4bl]
amend;vt. ÐÞÕý,¸ÄÉÆ,¸ÄÁ¼vi. ¸Ä¹ý×ÔÐÂ;[4'mend]
amiable;a. Ç×ÇÐµÄ,ºÍ°ª¿ÉÇ×µÄ;['eimj4bl]
amicable;a. ÓÑÉÆµÄ,ºÍÆ½µÄ;['1mik4bl]
amount;n. ÊýÁ¿,×Ü¶îvi. ×Ü¼Æ,µÈÓÚ;[4'maunt]
ample;a. ³ä×ãµÄ,·á¸»µÄ;['1mpl]
amplify;vt. À©´ó,ÏêÊö,Ê¹Ôö·ùvi. ÒýÉì;['1mplifai]
analogous;a. ÀàËÆµÄ,ÏàËÆµÄ;[4'n1l4g4s]
analogy;n. ÏàËÆ,ÀàËÆ;[4'n1l4d9i]
analysis;n. ·ÖÎö;[4'n1l4sis]
anecdote;n. éóÊÂ,ÆæÎÅ;['1nikd4ut]
angle;n. ½Ç,½ÇÂävi. µöÓã,¶áÈ¡,×·Öð,×ª±ä½Ç¶Èvt. Ê¹×ª¶¯½Ç¶È;['16gl]
anguish;n. ¿àÃÆ,Í´¿àvt. Ê¹¼«¿àÃÆ,Ê¹¼«Í´¿àvi. ¸Ðµ½Í´¿à;['16gwi5]
animated;a. »îÉúÉúµÄ,»îÆÃµÄ,Óä¿ìµÄ;['1n4meitid]
annex;n. ¸½ÊôÎï,È¹·¿¸½Êô½¨ÖþÎïvt. ²¢ÍÌ,¸½¼Ó,¸Ç;[4'neks]
annihilate;vt. ÏûÃð,·ÏÖ¹;[4'nai4leit]
annotate;vt.vi. ×¢½â,×¢ÊÍ;['1n4uteit]
announce;vt. Ðû²¼,ÏÔÊ¾,Ô¤¸ævi. µ±±¨Ä»Ô±,Ðû²¼²Î¼Ó¾ºÑ¡;[4'nauns]
annoy;vt. Ê¹¿àÄÕ,É§ÈÅ;[4'n3i]
annually;ad. Ò»ÄêÒ»´Î,Ã¿Äê;['1nju4li]
annul;vt. ·Ï³ý,Ðû¸æÎÞÐ§,È¡Ïû;[4'n8l]
anomalous;a. ²»¹æÔòµÄ,·´³£µÄ;[4'nam4l4s]
anomaly;n. ²»¹æÔò,Òì³£µÄÈË»òÎï;[4'n3m4li]
anonymous;a. ×÷Õß²»ÏêµÄ,ØýÃûµÄ,ÎÞÃûµÄn. ÎÞ¼ÇÂ¼;[4'n3nim4s]
antagonism;n. ·´¶Ô,µÐ¶Ô,µÐÒâ;[1n't1g4nizm]
antagonist;n. µÐÊÖ,¶ÔÊÖ;[1n't1g4nist]
anticipate;vt. Ô¤ÆÚ,Õ¼ÏÈ,ÌáÇ°Ê¹ÓÃ;[1n'tisipeit]
antique;n. ¹Å¶­,¹ÅÎïa. ¾ÉÊ½µÄ,¹ýÊ±µÄ;[1n'ti:k]
antiquity;n. ¹ÅÀÏ,¹Å´ú,¹Å´úµÄÒÅÎï;[1n'tikwiti]
antiseptic;n. É±¾ú¼Á,·À¸¯¼Áa. É±¾úµÄ,·À¸¯µÄ;[1nti'septik]
anxious;a. ÓÇÂÇµÄ,ÈÈÐÄµÄ,¿ÊÍûµÄ;['16k54s]
apathetic;a. È±·¦¸ÐÇéµÄ,È±·¦ÐËÈ¤µÄ,ÎÞ¶¯ÓÚÖÔµÄ;[1p4'7etik]
aperture;n. ¿×,Ñ¨,¿×¾¶,¹âÈ¦;['1p4tju4]
apex;n. ¶¥,·å,¾ø¶¥;['eipeks]
apologize;vi. µÀÇ¸,±ç°×;[4'p3l4d9aiz]
apparel;n. ÒÂ·þ,×°¾ßvt. Ê¹´©ÒÂ,×°ÊÎ;[4'p1r4l]
appeal;n. ¿ÒÇó,ÉÏËß,ÎüÒýÁ¦,ÒªÇóvi. ÇóÖú,ËßÇë,ÒªÇóvt. ¿ØËß;[4'pi:l]
appear;vi. ³öÏÖ,ÏÔµÃ,À´µ½;[4'pi4]
applaud;vt.vi. ÅÄÊÖºÈ²Ê,³ÆÔÞ,ÔÞÍ¬;[4'pl3:d]
applicant;n. ÉêÇëÕß,ÇëÇóÕß;['1plik4nt]
application;n. Ó¦ÓÃ,ÉêÇë,Ö¾Ô¸Êén. Ó¦ÓÃ³ÌÐò;['1pli'kei54n]
appoint;vt. ÈÎÃü,Ö¸¶¨,ÃüÁî;[4'p3int]
appraise;vt. ÆÀ¼Û,¹À¼Û,¼ø¶¨;[4'preiz]
appreciate;vt. ÉÍÊ¶,¼øÉÍ,¸Ð¼¤,ÐÀÉÍvi. ÔöÖµ,ÕÇ¼Û;[4'pri:5ieit]
apprehend;vt. Àí½â,ÓÇÂÇ,´þ²¶vi. Àí½â;['1pri'hend]
apprehension;n. Àí½â,ÓÇ¾å,´þ²¶;['1pri'hen54n]
apprentice;n. Ñ§Í½,ÉúÊÖvt. Ê¹×öÑ§Í½;[4'prentis]
appropriate;a. ÊÊµ±µÄ;[4'pr4upriit]
approve;vt. ÔÞÍ¬,ºË×¼,Ö¤Êµvi. ÔÞÐí;[4'pru:v]
approximate;a. ´óÔ¼µÄ,½üËÆµÄvt. ½Ó½ü,Ô¼µÈÓÚvi. ½üÓÚ;[4'pr3ksimit]
apt;a. ÇãÏòÓÚµÄ,Ò×ÓÚµÄ,Ç¡µ±µÄ,´ÏÃ÷µÄ;[1pt]
aptitude;n. ×ÊÖÊ,²ÅÄÜ,×ÔÈ»ÇãÏò;['1ptitju:d]
arable;a. ÊÊÓÚ¸ûÖÖµÄ,¿É¸ûµÄ;['1r4bl]
arbitration;n. ÖÙ²Ã,¹«¶Ï;['a:bi'trei54n]
arbitrator;n. ÖÙ²ÃÈË,¹«¶ÏÕß;['2:bitreit4]
archaic;a. ÒÑ·ÏµÄ,¹ÅÀÏµÄ,¹Å´úµÄ;[a:'keik]
ardent;a. ÈÈÐÄµÄ,¼¤ÁÒµÄ,È¼ÉÕ°ãµÄ;['a:d4nt]
ardor;n. ÈÈÐÄ,ÈÈÇé;['ard4]
arduous;a. ·ÑÁ¦µÄ,ÐÁÇÚµÄ,ÏÕ¾þµÄ;['a:dju4s]
arid;a. ¸ÉÔïµÄ,²»Ã«µÄ;['1rid]
aristocrat;n. ¹ó×å;['1rist4kr1t]
arithmetic;n. ËãÊõ,Ëã·¨;[4'ri7m4tik]
armament;n. ¾ü±¸,ÎäÆ÷;['a:m4m4nt]
armor;n. ¿ø¼×,×°¼×vt. ×°¼×;['2:m4]
aroma;n. Å¨Ïã,ÏãÆø;[4'roum4]
arouse;vt. »½ÐÑ,¹ÄÀø,ÒýÆðvi. Ë¯ÐÑ;[4'rauz]
arrange;vt.vi. °²ÅÅ,ÅÅÁÐ,Ð­ÉÌ;[4'reind9]
array;n. ÅÅÁÐ,ÒÂ·þ,´óÅúvt. ²¿Êð,´©×Å,ÅÅÁÐ;[4'rei]
arrogance;n. °ÁÂýÌ¬¶È,×Ô´ó;['1r4g4ns]
arrogant;a. °ÁÂýµÄ,×Ô´óµÄ;['1r4g4nt]
article;n. ÎÄÕÂ,¹Ú´Ê,ÎïÆ·,Ìõ¿î;['a:tikl]
ascend;vi. ÉÏÉý,×·ËÝ,µÇ¸ßvt. ÅÊµÇ;[4'send]
ascent;n. ÉÏÉý,ÉÏÆÂÂ·;[4'sent]
ascertain;vt. È·¶¨,Ì½Öª;['1s4'tein]
ascetic;n. ½ûÓûÕß,ÐÞµÀÕßa. ÐÞµÀµÄ,¿à¼ºµÄ,¿àÐÐ;[4'setik]
aspect;n. Íâ¹Û,·½Ãæ,·½Ïò;['1spekt]
asperse;vt. È÷Ë®,ÖÐÉË,·Ì°ù;[4s'p4:s]
aspersion;n. È÷Ë®,·Ì°ù,ÖÐÉË;[4s'p4:94n]
aspiration;n. ÈÈÍû,¿ÊÍû;[__sp_'rei__n]
aspire;vi. ÈÈÍû,Á¢Ö¾;[4s'pai4]
assassin;n. °µÉ±Õß,´Ì¿Í;[4's1sin]
assassinate;vt. °µÉ±,ÐÐ´Ì;[4's1sineit]
assault;n. ¹¥»÷,Í»Ï®vt. Ï®»÷,Í»Ï®vi. ¶¯Îä;[4's3:lt]
assemble;vt. ¼¯ºÏ,×°Åävi. ¼¯ºÏ;[4'sembl]
assembly;n. ¼¯»á,»áÒé,×°Åä;[4'sembli]
assert;vt. Ö÷ÕÅ,ÉùÃ÷,¶ÏÑÔ;[4's4:t]
assess;vt. ¹À¶¨,ÆÀ¶¨;[4'ses]
asset;n. ×Ê²ú,ÓÐÓÃµÄ¶«Î÷;['1set]
assiduous;a. ÇÚÃãµÄ,¿Ì¿àµÄ;[4'sidju4s]
assimilate;vt. Ê¹Í¬»¯,±È½Ï,ÎüÈ¡,ÎüÊÕ,±ÈÄâvi. ±»ÎüÊÕ,±»Í¬»¯;[4'simileit]
assist;n. °ïÖú,Ð­Öúvt. °ïÖú,²ó·övi. Ð­Öú,²Î¼Ó;[4'sist]
associate;n. Í¬°é,»ï°évt. ÁªºÏ,ÁªÏëvi. ½»Íùn. ¹ØÁª;[4's4u5ieit]
association;n. Ð­»á;[4's4usi'ei54n]
assuage;vt. »ººÍ,¼õÇá,Õò¶¨;[4'sweid9]
assumption;n. ¼Ù¶¨,¼Ù×°,ÊÓÎªµ±È»Ö®ÊÂ;[4's8mp54n]
assure;vt. ±£Ö¤,È·¸æ,µ£±£;[4'5u4]
astonish;vt. Ê¹¾ªÑÈ;[4s't3ni5]
astonished;adj. ¾ªÒì;[_'stani_t]
astound;vt. Ê¹¾ªº§,Ê¹´ó³ÔÒ»¾ª;[4s'taund]
astronomy;n. ÌìÎÄÑ§;[4s'tr3n4mi]
astute;a. »úÃôµÄ,½Æ»«µÄ;[4s'tju:t]
atheism;n. ÎÞÉñÂÛ;['ei7iizm]
athlete;n. ÔË¶¯Ô±,ÔË¶¯Ñ¡ÊÖ;['17li:t]
atmosphere;n. ´óÆø,Æø·Õ;['1tm4sfi4]
atom;n. Ô­×Ó,Î¢Á£,Î¢Á¿;['1t4m]
attachment;n. ¸½×Å,¸½ÊôÎï,°®Ä½;[_'t_t_m_nt]
attainment;n. ´ïµ½;[4'teinm4nt]
attend;vt. ²Î¼Ó,ÕÕÁÏ,Åã°évi. ×¨ÐÄ,ÕÕ¹Ë,·þÊÌ;[4'tend]
attendant;n. Ëæ´Ó,¸ú°à,³öÏ¯Õßa. °éËæµÄ,³öÏ¯µÄ,×¢ÒâµÄ,ÔÚ³¡µÄ;[4'tend4nt]
attorney;n. ´úÀíÈË,ÂÉÊ¦;[4't4:ni]
attribute;n. ÊôÐÔ,¶¨Óï,±êÖ¾vt. ¹éÓÚ,ÊôÓÚ;['1tribju:t]
attrition;n. Ä¦²Á,Ä¥Ëð;[4'tri54n]
audience;n. ÌýÖÚ,¹ÛÖÚ;['3:dj4ns]
audit;n. »üºË,²éÕËvt. »üºË,ÅÔÌývi. ²éÕË;['3:dit]
audition;n. Ìý,ÌýÁ¦,ÊÔÌý;[3:'di54n]
auditor;n. ÌýÕß,ÊÕÌýÕß,»üºËÔ±;['3dit4]
auditorium;n. ÀñÌÃ,»áÒéÌü,ÌýÖÚ;[3:di't3:ri4m]
augment;vt.vi. Ôö¼Ó,Ôö´ón. Ôö¼Ó;[3:g'ment,'3:gm4nt]
aura;n. ÆøÎ¶,Æø·Õ;['3:r4]
auspice;n. ÔÞÖú,Ö÷°ì,¼ªÕ×;['3:spis]
auspicious;n. ¼ªÕ×µÄ,ÐÒÔËµÄ;[3:'spi54s]
austerity;n. ÆÓËØ,½Ú¼ó,¿àÐÐ,ËáÉ¬,ÑÏ¾þ;[3'stAr4ti]
authentic;a. ÕæÊµµÄ,¿É¿¿µÄ,¿ÉÐÅµÄ;[3:'7entik]
authoritative;a. È¨ÍþµÄ,ÓÐÈ¨ÍþµÄ,ÃüÁîÊ½µÄ;[3:'73rit4tiv]
authority;n. È¨Íþ,×¨¼Ò,ÍþÐÅ;[3:'73riti]
authorize;vt. ÊÚÈ¨Óë,Åú×¼,Î¯ÍÐ´úÌæ;['3:74raiz]
autocrat;n. ¶À²ÃÕß;['3:t4kr1t]
autonomy;n. ×ÔÖÎ;[3:'t3n4mi]
